file,pronouns,determiners,reflexives,interrogatives,prepositions,superlatives,conjunct,modals,suma,ilca,othr,gif,exclams,temporalcausal,relclausesentences,meansent,avgrelclause
me_texts/me_prose_cmaelr3-m23.psd,1290.0,938.0,35.0,67.0,2206.0,2.0,1065.0,299.0,19.0,0.0,26.0,55.0,16.0,94.0,259.0,83.5672068636797,75.81853281853282
me_texts/me_prose_cmaelr4-m4.psd,887.0,690.0,22.0,45.0,1493.0,3.0,696.0,262.0,26.0,0.0,22.0,45.0,12.0,24.0,165.0,76.73046875,65.38181818181818
me_texts/me_verse_M1a.BodySoul.psd,377.0,159.0,0.0,13.0,245.0,3.0,115.0,74.0,0.0,0.0,0.0,2.0,2.0,30.0,45.0,47.846666666666664,32.28888888888889
me_texts/me_verse_M1a.LordOneGod.psd,296.0,169.0,2.0,0.0,367.0,2.0,117.0,48.0,11.0,1.0,2.0,5.0,1.0,9.0,37.0,48.38831615120275,27.27027027027027
