file,pronouns,determiners,reflexives,interrogatives,prepositions,superlatives,conjunct,modals,suma,ilca,othr,gif,exclams,subjunctives,temporalcausal,relclausesentences,meansent,avgrelclause
oe_texts/oe_prose_coadrian.o34.psd,96.0,88.0,1.0,0.0,91.0,7.0,39.0,6.0,0.0,0.0,4.0,3.0,12.0,18.0,4.0,16.0,54.875,30.4375
oe_texts/oe_prose_coaelhom.o3.psd,704.0,5490.0,246.0,98.0,7119.0,45.0,3549.0,916.0,151.0,51.0,147.0,164.0,102.0,283.0,410.0,922.0,178.8488120950324,64.10303687635574
oe_texts/oe_verse_coandrea.psd,0.0,224.0,28.0,5.0,505.0,0.0,99.0,83.0,3.0,0.0,5.0,8.0,8.0,8.0,18.0,57.0,95.32352941176471,48.75438596491228
oe_texts/oe_verse_cobeowul.psd,0.0,710.0,44.0,6.0,1504.0,0.0,403.0,321.0,22.0,1.0,25.0,23.0,15.0,35.0,74.0,196.0,121.00118203309692,48.12755102040816
